$1000 Damage to Any One Person's Property,Active School Zone Flag,At Intersection Flag,Average Daily Traffic Amount,Construction Zone Flag,Crash Severity,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Intersection Related,Roadway Part,Speed Limit,Surface Condition,Traffic Control Type,Person Helmet
No,No,FALSE,15262,No,Incapacitating Injury,239,1,2010,Friday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,310,2,2010,Friday,Non Intersection,Main/Proper Lane,35,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,310,2,2010,Friday,Non Intersection,Main/Proper Lane,35,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,310,2,2010,Friday,Non Intersection,Main/Proper Lane,35,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,22775,No,Non-Incapacitating Injury,2300,1,2010,Monday,Intersection Related,Main/Proper Lane,45,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1408,1,2010,Wednesday,Driveway Access,Main/Proper Lane,0,Wet,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1715,1,2010,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Marked Lanes,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1826,1,2010,Tuesday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,34215,No,Possible Injury,2104,1,2010,Thursday,Non Intersection,Main/Proper Lane,40,Wet,None,Not Worn
No,No,TRUE,160919,No,Possible Injury,1814,1,2010,Wednesday,Intersection,Service/Frontage Road,50,Dry,Signal Light,Unknown If Worn
Yes,No,TRUE,44866,No,Non-Incapacitating Injury,1124,1,2010,Saturday,Intersection,Main/Proper Lane,55,Dry,Stop Sign,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1605,3,2010,Saturday,Intersection,Service/Frontage Road,35,Dry,Signal Light,Not Worn
No,No,FALSE,115456,No,Possible Injury,1739,1,2010,Tuesday,Non Intersection,Service/Frontage Road,55,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1435,1,2010,Wednesday,Driveway Access,Other (Explain In Narrative),0,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1618,1,2010,Wednesday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,33647,No,Possible Injury,439,1,2010,Friday,Non Intersection,Main/Proper Lane,35,Wet,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1742,1,2010,Friday,Intersection,Main/Proper Lane,40,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1651,1,2010,Friday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,722,1,2010,Wednesday,Intersection,Main/Proper Lane,35,Unknown,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,758,1,2010,Friday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1658,1,2010,Monday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1315,1,2010,Saturday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1216,1,2010,Sunday,Intersection,Main/Proper Lane,45,Dry,Signal Light,Not Worn
No,No,TRUE,123443,No,Incapacitating Injury,1945,1,2010,Sunday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1126,1,2010,Friday,Intersection,Main/Proper Lane,30,Wet,Signal Light,Not Worn
No,No,FALSE,33647,No,Non-Incapacitating Injury,1840,1,2010,Saturday,Driveway Access,Main/Proper Lane,40,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1152,1,2010,Monday,Intersection Related,Main/Proper Lane,35,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,758,1,2010,Thursday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1543,1,2010,Thursday,Driveway Access,Service/Frontage Road,55,Dry,Other (Explain In Narrative),Not Worn
No,No,FALSE,44866,No,Possible Injury,1654,1,2010,Sunday,Non Intersection,Main/Proper Lane,60,Dry,Marked Lanes,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,650,1,2010,Monday,Intersection,Main/Proper Lane,35,Wet,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,230,1,2010,Tuesday,Non Intersection,Other (Explain In Narrative),35,Other (Explain In Narrative),None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1734,1,2010,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Not Injured,1541,0,2010,Tuesday,Not Reported,Service/Frontage Road,45,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1420,1,2010,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
